Latitude,Longitude,Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,RfLink
2654.66513,8604.80768,-0.1,0.16,9.14,-0.03,0.04,0,42.47,989.05,203.42,3.33,1
,,,,,,,,,,,,
2654.66512,8604.80768,-0.09,0.15,9.11,-0.03,0.03,0,42.47,989.06,203.38,3.32,1
,,,,,,,,,,,,
2654.66511,8604.80769,-0.1,0.17,9.13,-0.03,0.03,0,42.47,989.06,203.38,3.32,1
,,,,,,,,,,,,
2654.66511,8604.8077,-0.08,0.16,9.15,-0.03,0.03,0,42.47,989.06,203.42,3.32,1
,,,,,,,,,,,,
2654.66509,8604.80772,-0.09,0.15,9.15,-0.03,0.04,0,42.47,989.06,203.43,3.32,1
,,,,,,,,,,,,
2654.66509,8604.80774,-0.09,0.15,9.11,-0.03,0.04,0,42.48,989.05,203.41,3.32,1
,,,,,,,,,,,,
2654.66508,8604.80776,-0.08,0.15,9.1,-0.03,0.03,0,42.47,989.05,203.4,3.32,1
,,,,,,,,,,,,
2654.66506,8604.80778,-0.08,0.17,9.11,-0.03,0.03,0,42.48,989.05,203.39,3.32,1
,,,,,,,,,,,,
2654.66504,8604.80779,-0.1,0.15,9.12,-0.03,0.03,0,42.48,989.06,203.44,3.32,1
,,,,,,,,,,,,
2654.66502,8604.80781,-0.07,0.14,9.11,-0.03,0.03,0,42.48,989.05,203.47,3.32,1
,,,,,,,,,,,,
2654.66499,8604.8078,-0.08,0.16,9.13,-0.03,0.03,0,42.48,989.05,203.5,3.33,1
,,,,,,,,,,,,
2654.66498,8604.80781,-0.08,0.16,9.12,-0.03,0.04,0,42.48,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80781,-0.12,0.16,9.14,-0.03,0.03,0,42.48,989.05,203.4,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80784,-0.1,0.13,9.11,-0.03,0.04,0,42.48,989.07,203.34,3.33,1
,,,,,,,,,,,,
2654.66497,8604.80785,-0.08,0.16,9.15,-0.03,0.04,0,42.48,989.06,203.35,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80789,-0.1,0.17,9.13,-0.03,0.03,0,42.48,989.05,203.48,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80789,-0.09,0.16,9.09,-0.03,0.04,0,42.49,989.05,203.34,3.32,1
,,,,,,,,,,,,
2654.66498,8604.80792,-0.1,0.15,9.13,-0.03,0.04,0,42.49,989.07,203.4,3.32,1
,,,,,,,,,,,,
2654.66497,8604.80793,-0.09,0.16,9.14,-0.03,0.03,0,42.49,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66496,8604.80794,-0.09,0.16,9.14,-0.03,0.03,0,42.49,989.05,203.46,3.32,1
,,,,,,,,,,,,
2654.66496,8604.80795,-0.08,0.14,9.13,-0.03,0.03,0,42.49,989.06,203.45,3.32,1
,,,,,,,,,,,,
2654.66494,8604.80797,-0.09,0.14,9.11,-0.03,0.03,0,42.49,989.05,203.38,3.32,1
,,,,,,,,,,,,
2654.66494,8604.80797,-0.08,0.15,9.13,-0.03,0.03,0,42.49,989.06,203.44,3.32,1
,,,,,,,,,,,,
2654.66491,8604.808,-0.09,0.16,9.12,-0.03,0.04,0,42.5,989.05,203.48,3.32,1
,,,,,,,,,,,,
2654.66489,8604.80801,-0.08,0.15,9.13,-0.03,0.04,0,42.5,989.05,203.48,3.33,1
,,,,,,,,,,,,
2654.66489,8604.80804,-0.08,0.17,9.09,-0.03,0.03,0,42.5,989.05,203.53,3.32,1
,,,,,,,,,,,,
2654.66488,8604.80805,-0.08,0.15,9.14,-0.03,0.03,0,42.5,989.05,203.44,3.33,1
,,,,,,,,,,,,
2654.66486,8604.80805,-0.09,0.15,9.12,-0.03,0.03,0,42.5,989.05,203.48,3.33,1
,,,,,,,,,,,,
2654.66487,8604.80806,-0.07,0.17,9.11,-0.03,0.03,0,42.5,989.05,203.44,3.32,1
,,,,,,,,,,,,
2654.66489,8604.80804,-0.1,0.15,9.12,-0.03,0.03,0,42.5,989.06,203.47,3.32,1
,,,,,,,,,,,,
2654.6649,8604.80805,-0.09,0.15,9.17,-0.03,0.03,0,42.5,989.04,203.54,3.33,1
,,,,,,,,,,,,
2654.66491,8604.80805,-0.08,0.17,9.14,-0.03,0.04,0,42.5,989.05,203.39,3.32,1
,,,,,,,,,,,,
2654.66494,8604.80804,-0.08,0.18,9.14,-0.03,0.03,0,42.51,989.06,203.35,3.32,1
,,,,,,,,,,,,
2654.66496,8604.80802,-0.09,0.17,9.16,-0.03,0.03,0,42.51,989.07,203.33,3.33,1
,,,,,,,,,,,,
2654.66499,8604.808,-0.11,0.18,9.16,-0.03,0.04,0,42.51,989.07,203.31,3.33,1
,,,,,,,,,,,,
2654.66502,8604.80797,-0.08,0.15,9.1,-0.03,0.03,0,42.51,989.06,203.38,3.33,1
,,,,,,,,,,,,
2654.66504,8604.80795,-0.08,0.15,9.15,-0.03,0.03,0,42.51,989.06,203.37,3.32,1
,,,,,,,,,,,,
2654.66507,8604.80793,-0.08,0.16,9.15,-0.03,0.03,0,42.51,989.06,203.36,3.32,1
,,,,,,,,,,,,
2654.66511,8604.80793,-0.07,0.14,9.11,-0.03,0.03,0,42.51,989.05,203.39,3.32,1
,,,,,,,,,,,,
2654.66518,8604.80791,-0.07,0.15,9.14,-0.03,0.03,0,42.51,989.06,203.38,3.32,1
,,,,,,,,,,,,
2654.6652,8604.8079,-0.09,0.17,9.1,-0.03,0.03,0,42.51,989.06,203.41,3.32,1
,,,,,,,,,,,,
