Acceleration_x,Acceleration_y,Acceleration_z,Gyro_x,Gyro_y,Gyro_z,Temperature,Pressure,Altitude,Voltage,Rflink
0.08,1.02,-9.32,-0.03,0.03,0.03,38.48,984.87,239.13,3.74,1
,,,,,,,,,,
0.08,1.01,-9.36,-0.03,0.03,0.03,38.49,984.84,239.29,3.74,1
,,,,,,,,,,
0.04,1.03,-9.32,-0.03,0.03,0.03,38.49,984.82,239.45,3.85,1
,,,,,,,,,,
0.04,1.03,-9.32,-0.03,0.03,0.03,38.49,984.82,239.45,3.85,0
,,,,,,,,,,
0.07,1.04,-9.34,-0.03,0.03,0.03,38.49,984.8,239.65,3.7,1
,,,,,,,,,,
0.07,1.02,-9.31,-0.03,0.03,0.03,38.5,984.77,239.8,3.86,1
,,,,,,,,,,
0.08,1.02,-9.36,-0.03,0.03,0.03,38.51,984.76,239.95,3.96,1
,,,,,,,,,,
0.08,1.02,-9.36,-0.03,0.03,0.03,38.51,984.76,239.95,3.96,0
,,,,,,,,,,
0.07,1.03,-9.34,-0.03,0.03,0.03,38.51,984.74,240.08,3.88,1
,,,,,,,,,,
0.08,1.02,-9.31,-0.03,0.03,0.03,38.52,984.73,240.22,3.96,1
,,,,,,,,,,
0.07,1.02,-9.32,-0.03,0.03,0.03,38.52,984.73,240.26,3.91,1
,,,,,,,,,,
0.06,1.03,-9.33,-0.03,0.03,0.03,38.53,984.71,240.4,3.91,1
,,,,,,,,,,
0.06,1.01,-9.34,-0.03,0.03,0.03,38.53,984.7,240.53,3.69,1
,,,,,,,,,,
0.08,1.04,-9.3,-0.03,0.03,0.03,38.54,984.69,240.6,3.68,1
,,,,,,,,,,
0.08,1.01,-9.35,-0.03,0.03,0.03,38.54,984.68,240.63,3.67,1
,,,,,,,,,,
0.06,1.04,-9.31,-0.03,0.03,0.03,38.55,984.66,240.72,3.83,1
,,,,,,,,,,
0.08,1.01,-9.31,-0.03,0.03,0.03,38.55,984.65,240.86,3.74,1
,,,,,,,,,,
0.06,1.03,-9.36,-0.03,0.03,0.03,38.55,984.65,240.93,3.72,1
,,,,,,,,,,
0.08,1.02,-9.35,-0.03,0.03,0.04,38.56,984.63,241.1,3.97,1
,,,,,,,,,,
0.08,1.05,-9.34,-0.03,0.03,0.03,38.56,984.63,241.06,3.73,1
,,,,,,,,,,
0.07,1.03,-9.32,-0.03,0.03,0.03,38.57,984.61,241.24,3.95,1
,,,,,,,,,,
0.08,1.03,-9.36,-0.03,0.03,0.03,38.57,984.61,241.24,3.75,1
,,,,,,,,,,
0.06,1.02,-9.34,-0.03,0.03,0.03,38.57,984.59,241.38,3.68,1
,,,,,,,,,,
0.07,1.02,-9.33,-0.03,0.03,0.03,38.58,984.59,241.37,3.94,1
,,,,,,,,,,
0.08,1.05,-9.34,-0.03,0.03,0.03,38.58,984.59,241.42,3.68,1
,,,,,,,,,,
0.08,1,-9.35,-0.03,0.03,0.03,38.59,984.58,241.51,3.69,1
,,,,,,,,,,
0.08,1.04,-9.33,-0.03,0.03,0.04,38.59,984.58,241.48,3.71,1
,,,,,,,,,,
0.07,1.02,-9.32,-0.03,0.03,0.03,38.59,984.58,241.52,3.95,1
,,,,,,,,,,
0.07,1.02,-9.34,-0.03,0.03,0.03,38.6,984.59,241.42,3.73,1
,,,,,,,,,,
0.07,1.02,-9.34,-0.03,0.03,0.03,38.6,984.59,241.42,3.73,0
,,,,,,,,,,
0.07,1.04,-9.33,-0.03,0.03,0.03,38.6,984.57,241.66,3.68,1
,,,,,,,,,,
0.07,1.02,-9.35,-0.03,0.03,0.04,38.61,984.54,241.79,3.68,1
,,,,,,,,,,
0.06,1.03,-9.34,-0.03,0.03,0.03,38.62,984.54,241.87,3.71,1
,,,,,,,,,,
0.04,1.02,-9.33,-0.03,0.03,0.03,38.62,984.52,242.07,3.78,1
,,,,,,,,,,
0.09,1.02,-9.31,-0.03,0.03,0.03,38.62,984.51,242.07,3.96,1
,,,,,,,,,,
0.07,1.03,-9.34,-0.03,0.03,0.03,38.63,984.51,242.18,3.89,1
,,,,,,,,,,
0.07,1.02,-9.33,-0.03,0.03,0.03,38.63,984.5,242.16,3.95,1
,,,,,,,,,,
0.07,1.04,-9.34,-0.03,0.03,0.03,38.64,984.49,242.28,3.89,1
,,,,,,,,,,
0.07,1.03,-9.34,-0.03,0.03,0.03,38.64,984.49,242.23,3.85,1
,,,,,,,,,,
